销售日期,单品编码,销量(千克)
24/06/2023,七彩椒(2),0.951
24/06/2023,上海青,5.127
24/06/2023,云南油麦菜(份),26
24/06/2023,云南生菜(份),58
24/06/2023,净藕(1),7.656
24/06/2023,双孢菇(盒),12
24/06/2023,圆茄子(2),0.867
24/06/2023,外地茼蒿,3.68
24/06/2023,奶白菜,6.609
24/06/2023,姜蒜小米椒组合装(小份),7
24/06/2023,娃娃菜,9
24/06/2023,小皱皮(份),18
24/06/2023,小米椒(份),20
24/06/2023,小青菜(1),5.97
24/06/2023,木耳菜,2.769
24/06/2023,枝江青梗散花,2.161
24/06/2023,洪湖藕带,2.72
24/06/2023,海鲜菇(包),13
24/06/2023,竹叶菜,16.569
24/06/2023,紫茄子(2),13.573
24/06/2023,红椒(2),3.95
24/06/2023,红莲藕带,0.862
24/06/2023,红薯尖,4.011
24/06/2023,芜湖青椒(1),17.986
24/06/2023,苋菜,14.396
24/06/2023,菜心,4.112
24/06/2023,菠菜,3.252
24/06/2023,菠菜(份),2
24/06/2023,菱角,1.77
24/06/2023,虫草花(份),3
24/06/2023,螺丝椒,9.3
24/06/2023,螺丝椒(份),15
24/06/2023,蟹味菇与白玉菇双拼(盒),2
24/06/2023,西兰花,9.387
24/06/2023,西峡花菇(1),6.18
24/06/2023,金针菇(盒),18
24/06/2023,长线茄,6.831
24/06/2023,青红杭椒组合装(份),1
24/06/2023,青线椒(份),1
24/06/2023,青茄子(1),7.098
24/06/2023,高瓜(1),3.046
25/06/2023,七彩椒(2),1.048
25/06/2023,上海青,1.383
25/06/2023,云南油麦菜,4.232
25/06/2023,云南油麦菜(份),19
25/06/2023,云南生菜,0.557
25/06/2023,云南生菜(份),37
25/06/2023,净藕(1),5.251
25/06/2023,双孢菇(盒),8
25/06/2023,圆茄子(2),0.616
25/06/2023,姜蒜小米椒组合装(小份),9
25/06/2023,娃娃菜,7
25/06/2023,小皱皮(份),9
25/06/2023,小米椒(份),17
25/06/2023,小青菜(1),4.788
25/06/2023,木耳菜,4.548
25/06/2023,洪湖藕带,4.741
25/06/2023,海鲜菇(包),11
25/06/2023,竹叶菜,13.941
25/06/2023,紫茄子(2),16.448
25/06/2023,红椒(2),1.395
25/06/2023,红莲藕带,0.579
25/06/2023,红薯尖,3.087
25/06/2023,芜湖青椒(1),11.883
25/06/2023,苋菜,9.824
25/06/2023,菜心,1.242
25/06/2023,菠菜,2.293
25/06/2023,菱角,1.483
25/06/2023,虫草花(份),1
25/06/2023,螺丝椒,5.332
25/06/2023,螺丝椒(份),13
25/06/2023,西兰花,10.681
25/06/2023,西峡花菇(1),4.271
25/06/2023,金针菇(盒),11
25/06/2023,长线茄,2.493
25/06/2023,青红杭椒组合装(份),2
25/06/2023,青茄子(1),3.758
25/06/2023,高瓜(1),2.357
25/06/2023,高瓜(2),2.089
26/06/2023,七彩椒(2),1.506
26/06/2023,上海青,1.42
26/06/2023,云南油麦菜,0.573
26/06/2023,云南油麦菜(份),14
26/06/2023,云南生菜,7.971
26/06/2023,云南生菜(份),4
26/06/2023,净藕(1),4.493
26/06/2023,双孢菇(盒),11
26/06/2023,外地茼蒿,1.862
26/06/2023,奶白菜,7.636
26/06/2023,姜蒜小米椒组合装(小份),8
26/06/2023,娃娃菜,3
26/06/2023,小皱皮(份),15
26/06/2023,小米椒(份),20
26/06/2023,小青菜(1),5.446
26/06/2023,木耳菜,10.052
26/06/2023,洪湖藕带,2.784
26/06/2023,海鲜菇(包),4
26/06/2023,白玉菇(袋),1
26/06/2023,竹叶菜,12.022
26/06/2023,紫茄子(2),16.395
26/06/2023,红椒(2),1.905
26/06/2023,红莲藕带,0.349
26/06/2023,红薯尖,3.49
26/06/2023,芜湖青椒(1),10.334
26/06/2023,苋菜,7.777
26/06/2023,菠菜,1.275
26/06/2023,虫草花(份),4
26/06/2023,螺丝椒,6.44
26/06/2023,螺丝椒(份),7
26/06/2023,蟹味菇与白玉菇双拼(盒),3
26/06/2023,西兰花,8.083
26/06/2023,西峡花菇(1),3.582
26/06/2023,金针菇(盒),9
26/06/2023,长线茄,1.271
26/06/2023,青红杭椒组合装(份),1
26/06/2023,青线椒(份),1
26/06/2023,青茄子(1),3.558
26/06/2023,高瓜(1),1.973
26/06/2023,高瓜(2),0.785
26/06/2023,鲜木耳(份),4
27/06/2023,七彩椒(2),2.101
27/06/2023,上海青,1.823
27/06/2023,云南油麦菜,0.293
27/06/2023,云南油麦菜(份),18
27/06/2023,云南生菜,0.251
27/06/2023,云南生菜(份),23
27/06/2023,净藕(1),4.354
27/06/2023,双孢菇(盒),10
27/06/2023,圆茄子(2),0.553
27/06/2023,外地茼蒿,0.996
27/06/2023,奶白菜,6.842
27/06/2023,姜蒜小米椒组合装(小份),8
27/06/2023,娃娃菜,19
27/06/2023,小皱皮(份),6
27/06/2023,小米椒(份),19
27/06/2023,小青菜(1),3.005
27/06/2023,木耳菜,5.034
27/06/2023,木耳菜(份),1
27/06/2023,洪湖藕带,4.98
27/06/2023,海鲜菇(包),11
27/06/2023,竹叶菜,14.095
27/06/2023,紫茄子(1),0.512
27/06/2023,紫茄子(2),4.095
27/06/2023,红椒(2),1.6
27/06/2023,红莲藕带,0.218
27/06/2023,红薯尖,7.056
27/06/2023,芜湖青椒(1),17.095
27/06/2023,苋菜,11.061
27/06/2023,菜心,0.822
27/06/2023,菠菜(份),15
27/06/2023,菱角,1.269
27/06/2023,虫草花(份),1
27/06/2023,螺丝椒,4.324
27/06/2023,螺丝椒(份),5
27/06/2023,蟹味菇与白玉菇双拼(盒),1
27/06/2023,西兰花,14.272
27/06/2023,西峡花菇(1),3.708
27/06/2023,野生粉藕,1.441
27/06/2023,金针菇(盒),12
27/06/2023,长线茄,2.332
27/06/2023,青红杭椒组合装(份),4
27/06/2023,青茄子(1),0.923
27/06/2023,高瓜(1),3.947
27/06/2023,高瓜(2),0.245
28/06/2023,七彩椒(2),1.528
28/06/2023,上海青,5.553
28/06/2023,云南油麦菜(份),21
28/06/2023,云南生菜(份),33
28/06/2023,净藕(1),6.587
28/06/2023,双孢菇(盒),13
28/06/2023,圆茄子(2),2.209
28/06/2023,奶白菜,8.488
28/06/2023,姜蒜小米椒组合装(小份),5
28/06/2023,娃娃菜,17
28/06/2023,小皱皮(份),13
28/06/2023,小米椒(份),18
28/06/2023,小青菜(1),2.578
28/06/2023,木耳菜,9.466
28/06/2023,枝江青梗散花,2.668
28/06/2023,洪湖藕带,3.968
28/06/2023,海鲜菇(包),6
28/06/2023,白玉菇(袋),1
28/06/2023,竹叶菜,13.151
28/06/2023,紫茄子(2),6.075
28/06/2023,红椒(2),1.325
28/06/2023,红莲藕带,1.037
28/06/2023,红薯尖,2.436
28/06/2023,芜湖青椒(1),11.342
28/06/2023,苋菜,3.809
28/06/2023,菜心,2.701
28/06/2023,菠菜(份),11
28/06/2023,菱角,0.903
28/06/2023,虫草花(份),4
28/06/2023,螺丝椒,6.339
28/06/2023,螺丝椒(份),10
28/06/2023,西兰花,13.401
28/06/2023,西峡花菇(1),3.742
28/06/2023,金针菇(盒),26
28/06/2023,长线茄,4.917
28/06/2023,青红杭椒组合装(份),2
28/06/2023,青茄子(1),2.45
28/06/2023,高瓜(1),2.451
29/06/2023,七彩椒(2),0.168
29/06/2023,上海青,4.687
29/06/2023,云南油麦菜(份),26
29/06/2023,云南生菜,2.904
29/06/2023,云南生菜(份),35
29/06/2023,净藕(1),7.403
29/06/2023,双孢菇(盒),7
29/06/2023,圆茄子(2),1.822
29/06/2023,奶白菜,6.34
29/06/2023,姜蒜小米椒组合装(小份),3
29/06/2023,娃娃菜,12
29/06/2023,小皱皮(份),8
29/06/2023,小米椒(份),33
29/06/2023,小青菜(1),7.81
29/06/2023,木耳菜,4.48
29/06/2023,木耳菜(份),1
29/06/2023,枝江青梗散花,9.187
29/06/2023,洪湖藕带,4.7
29/06/2023,海鲜菇(包),11
29/06/2023,白玉菇(袋),1
29/06/2023,竹叶菜,10.415
29/06/2023,紫茄子(1),0.512
29/06/2023,紫茄子(2),5.369
29/06/2023,红椒(2),2.155
29/06/2023,红莲藕带,0.83
29/06/2023,红薯尖,5.586
29/06/2023,芜湖青椒(1),15.098
29/06/2023,苋菜,8.868
29/06/2023,菠菜(份),10
29/06/2023,菱角,3.403
29/06/2023,虫草花(份),1
29/06/2023,螺丝椒,7.692
29/06/2023,螺丝椒(份),19
29/06/2023,西兰花,15.18
29/06/2023,西峡花菇(1),4.314
29/06/2023,野生粉藕,0.767
29/06/2023,金针菇(盒),24
29/06/2023,长线茄,2.868
29/06/2023,青红杭椒组合装(份),1
29/06/2023,青茄子(1),0.94
29/06/2023,高瓜(1),3.477
29/06/2023,高瓜(2),2.365
30/06/2023,上海青,7.036
30/06/2023,云南油麦菜(份),25
30/06/2023,云南生菜(份),36
30/06/2023,净藕(1),6.44
30/06/2023,双孢菇(盒),9
30/06/2023,圆茄子(2),1.376
30/06/2023,奶白菜,9.044
30/06/2023,姜蒜小米椒组合装(小份),9
30/06/2023,娃娃菜,6
30/06/2023,小皱皮(份),10
30/06/2023,小米椒(份),23
30/06/2023,小青菜(1),4.709
30/06/2023,木耳菜,5.185
30/06/2023,木耳菜(份),1
30/06/2023,枝江青梗散花,11.187
30/06/2023,洪湖藕带,4.339
30/06/2023,海鲜菇(包),6
30/06/2023,白玉菇(袋),1
30/06/2023,竹叶菜,12.884
30/06/2023,紫茄子(2),14.365
30/06/2023,红椒(2),1.92
30/06/2023,红莲藕带,0.721
30/06/2023,红薯尖,5.88
30/06/2023,芜湖青椒(1),15.896
30/06/2023,苋菜,6.726
30/06/2023,菠菜(份),11
30/06/2023,菱角,3.396
30/06/2023,虫草花(份),2
30/06/2023,螺丝椒,8.47
30/06/2023,螺丝椒(份),10
30/06/2023,蟹味菇与白玉菇双拼(盒),2
30/06/2023,西兰花,16.9
30/06/2023,西峡花菇(1),6.572
30/06/2023,野生粉藕,0.231
30/06/2023,金针菇(盒),13
30/06/2023,长线茄,8.789
30/06/2023,青红杭椒组合装(份),4
30/06/2023,高瓜(1),3.78
30/06/2023,高瓜(2),0.512
